Condition;ID;Time;Survivors
PST3+C;62;9;9
PST3+C;63;9;10
PST3+C;64;9;9
PST3+C;65;9;10
PST3+C;66;9;9
PST3+C;67;9;10
PST3+C;68;9;10
PST3+C;69;9;10
PST3+C;70;9;10
PST4+C;71;9;10
PST4+C;72;9;10
PST4+C;73;9;10
PST4+C;74;9;9
PST4+C;75;9;10
PST4+C;76;9;10
PST4+C;77;9;8
PST4+C;78;9;9
PST4+C;79;9;10
PST4+C;80;9;10
C;81;9;10
C;82;9;10
C;83;9;8
C;84;9;10
C;85;9;9
C;86;9;10
C;87;9;9
C;88;9;9
C;89;9;10
C;90;9;10
ST;91;9;10
ST;92;9;9
ST;93;9;10
ST;94;9;10
ST;95;9;9
ST;96;9;10
ST;97;9;8
ST;98;9;10
ST;99;9;9
ST;100;9;10
PST1;1;11;10
PST1;2;11;10
PST1;3;11;9
PST1;4;11;9
PST1;5;11;9
PST1;6;11;10
PST1;7;11;10
PST1;8;11;10
PST1;9;11;6
PST1;10;11;10
PST2;11;11;10
PST2;12;11;10
PST2;13;11;9
PST2;14;11;9
PST2;15;11;10
PST2;16;11;10
PST2;17;11;8
PST2;18;11;10
PST2;19;11;9
PST2;20;11;8
PST3;21;11;10
PST3;22;11;10
PST3;23;11;9
PST3;24;11;10
PST3;25;11;10
PST3;26;11;9
PST3;27;11;10
PST3;28;11;10
PST3;29;11;9
PST3;30;11;9
PST4;31;11;10
PST4;32;11;9
PST4;33;11;9
PST4;34;11;10
PST4;35;11;9
PST4;36;11;9
PST4;37;11;9
PST4;38;11;8
PST4;39;11;8
PST4;40;11;9
PST1+C;41;11;10
PST1+C;42;11;10
PST1+C;43;11;10
PST1+C;44;11;10
PST1+C;45;11;9
PST1+C;46;11;10
PST1+C;47;11;9
PST1+C;48;11;10
PST1+C;49;11;10
PST1+C;50;11;10
PST2+C;51;11;8
PST2+C;52;11;9
PST2+C;53;11;9
PST2+C;54;11;10
PST2+C;55;11;10
PST2+C;56;11;10
PST2+C;57;11;10
PST2+C;58;11;8
PST2+C;59;11;10
PST2+C;60;11;10
PST3+C;61;11;10
PST3+C;62;11;9
PST3+C;63;11;10
PST3+C;64;11;9
PST3+C;65;11;10
PST3+C;66;11;9
PST3+C;67;11;10
PST3+C;68;11;10
PST3+C;69;11;10
PST3+C;70;11;10
PST4+C;71;11;10
PST4+C;72;11;10
PST4+C;73;11;10
PST4+C;74;11;9
PST4+C;75;11;10
PST4+C;76;11;10
PST4+C;77;11;8
PST4+C;78;11;9
PST4+C;79;11;10
PST4+C;80;11;9
C;81;11;8
C;82;11;10
C;83;11;8
C;84;11;10
C;85;11;8
C;86;11;10
C;87;11;9
C;88;11;9
C;89;11;10
C;90;11;10
ST;91;11;10
ST;92;11;9
ST;93;11;9
ST;94;11;9
ST;95;11;7
ST;96;11;10
ST;97;11;6
ST;98;11;10
ST;99;11;9
ST;100;11;9
PST1;1;14;10
PST1;2;14;10
PST1;3;14;8
PST1;4;14;9
PST1;5;14;9
PST1;6;14;10
PST1;7;14;10
PST1;8;14;10
PST1;9;14;6
PST1;10;14;7
PST2;11;14;10
PST2;12;14;6
PST2;13;14;9
PST2;14;14;9
PST2;15;14;7
PST2;16;14;10
PST2;17;14;8
PST2;18;14;9
PST2;19;14;8
PST2;20;14;8
PST3;21;14;10
PST3;22;14;9
PST3;23;14;9
PST3;24;14;10
PST3;25;14;8
PST3;26;14;9
PST3;27;14;10
PST3;28;14;9
PST3;29;14;8
PST3;30;14;9
PST4;31;14;9
PST4;32;14;9
PST4;33;14;9
PST4;34;14;10
PST4;35;14;9
PST4;36;14;9
PST4;37;14;7
PST4;38;14;7
PST4;39;14;7
PST4;40;14;7
PST1+C;41;14;10
PST1+C;42;14;10
PST1+C;43;14;10
PST1+C;44;14;10
PST1+C;45;14;9
PST1+C;46;14;10
PST1+C;47;14;9
PST1+C;48;14;10
PST1+C;49;14;10
PST1+C;50;14;10
PST2+C;51;14;8
PST2+C;52;14;8
PST2+C;53;14;8
PST2+C;54;14;10
PST2+C;55;14;10
PST2+C;56;14;10
PST2+C;57;14;8
PST2+C;58;14;8
PST2+C;59;14;10
PST2+C;60;14;10
PST3+C;61;14;10
PST3+C;62;14;9
PST3+C;63;14;10
PST3+C;64;14;9
PST3+C;65;14;10
PST3+C;66;14;8
PST3+C;67;14;10
PST3+C;68;14;10
PST3+C;69;14;10
PST3+C;70;14;10
PST4+C;71;14;10
PST4+C;72;14;10
PST4+C;73;14;9
PST4+C;74;14;9
PST4+C;75;14;10
PST4+C;76;14;10
PST4+C;77;14;8
PST4+C;78;14;9
PST4+C;79;14;10
PST4+C;80;14;9
C;81;14;8
C;82;14;9
C;83;14;8
C;84;14;9
C;85;14;8
C;86;14;9
C;87;14;8
C;88;14;9
C;89;14;9
C;90;14;10
ST;91;14;10
ST;92;14;9
ST;93;14;7
ST;94;14;8
ST;95;14;7
ST;96;14;10
ST;97;14;5
ST;98;14;6
ST;99;14;9
ST;100;14;9
PST1;1;16;8
PST1;2;16;10
PST1;3;16;8
PST1;4;16;8
PST1;5;16;9
PST1;6;16;9
PST1;7;16;8
PST1;8;16;10
PST1;9;16;5
PST1;10;16;7
PST2;11;16;10
PST2;12;16;6
PST2;13;16;9
PST2;14;16;9
PST2;15;16;7
PST2;16;16;9
PST2;17;16;7
PST2;18;16;9
PST2;19;16;8
PST2;20;16;7
PST3;21;16;10
PST3;22;16;9
PST3;23;16;9
PST3;24;16;9
PST3;25;16;8
PST3;26;16;9
PST3;27;16;8
PST3;28;16;8
PST3;29;16;8
PST3;30;16;9
PST4;31;16;9
PST4;32;16;9
PST4;33;16;9
PST4;34;16;9
PST4;35;16;9
PST4;36;16;9
PST4;37;16;6
PST4;38;16;5
PST4;39;16;6
PST4;40;16;6
PST1+C;41;16;10
PST1+C;42;16;10
PST1+C;43;16;10
PST1+C;44;16;10
PST1+C;45;16;8
PST1+C;46;16;10
PST1+C;47;16;9
PST1+C;48;16;9
PST1+C;49;16;10
PST1+C;50;16;10
PST2+C;51;16;8
PST2+C;52;16;8
PST2+C;53;16;8
PST2+C;54;16;10
PST2+C;55;16;10
PST2+C;56;16;10
PST2+C;57;16;8
PST2+C;58;16;8
PST2+C;59;16;10
PST2+C;60;16;10
PST3+C;61;16;10
PST3+C;62;16;9
PST3+C;63;16;10
PST3+C;64;16;9
PST3+C;65;16;10
PST3+C;66;16;6
PST3+C;67;16;10
PST3+C;68;16;10
PST3+C;69;16;10
PST3+C;70;16;10
PST4+C;71;16;10
PST4+C;72;16;10
PST4+C;73;16;9
PST4+C;74;16;9
PST4+C;75;16;10
PST4+C;76;16;10
PST4+C;77;16;8
PST4+C;78;16;9
PST4+C;79;16;10
