Condition ;ID;Time;Masslarva;MassPS;MLarveIni;MPSIni
PST1+C;50;4;5.12;-0.37;;
PST2+C;51;4;-0.27;-0.04;;
PST2+C;52;4;2.09;0.23;;
PST2+C;53;4;0.69;0.34;;
PST2+C;54;4;5.75;-0.05;;
PST2+C;55;4;4.67;0.27;;
PST2+C;56;4;1.25;0.19;;
PST2+C;57;4;-0.46;0.03;;
PST2+C;58;4;1.69;0.16;;
PST2+C;59;4;2.26;0.28;;
PST2+C;60;4;-0.56;0.02;;
PST3+C;61;4;0.65;-0.1;;
PST3+C;62;4;2.86;0.27;;
PST3+C;63;4;-0.62;0.1;;
PST3+C;64;4;1.49;0.1;;
PST3+C;65;4;3.01;0.06;;
PST3+C;66;4;1.18;0.02;;
PST3+C;67;4;3.45;0.29;;
PST3+C;68;4;-0.69;0.17;;
PST3+C;69;4;2.73;0.35;;
PST3+C;70;4;1.8;0.13;;
PST4+C;71;4;0.55;-0.31;;
PST4+C;72;4;1.81;-0.26;;
PST4+C;73;4;4.17;-0.46;;
PST4+C;74;4;3.47;-0.68;;
PST4+C;75;4;1.14;-0.22;;
PST4+C;76;4;1.92;-1.34;;
PST4+C;77;4;0.22;-0.03;;
PST4+C;78;4;0.95;-0.15;;
PST4+C;79;4;0.58;0.02;;
PST4+C;80;4;4.26;-0.82;;
C;81;4;2.18;;;
C;82;4;1.52;;;
C;83;4;1.16;;;
C;84;4;1.43;;;
C;85;4;3.95;;;
C;86;4;0.75;;;
C;87;4;7.18;;;
C;88;4;3.18;;;
C;89;4;2.04;;;
C;90;4;4.91;;;
ST;91;4;-0.9;;;
ST;92;4;-0.88;;;
ST;93;4;0.93;;;
ST;94;4;2.19;;;
ST;95;4;-0.89;;;
ST;96;4;-0.86;;;
ST;97;4;-1.26;;;
ST;98;4;-1.2;;;
ST;99;4;-1.19;;;
ST;100;4;0.24;;;
PST1;1;7;-0.13;0.22;;
PST1;2;7;-2.14;-1.23;;
PST1;3;7;-1.9;-0.28;;
PST1;4;7;1.19;-0.64;;
PST1;5;7;-0.74;-0.24;;
PST1;6;7;0.06;0.08;;
PST1;7;7;-3.12;-1.15;;
PST1;8;7;-0.82;0.07;;
PST1;9;7;0.87;-0.16;;
PST1;10;7;0.14;-2.86;;
PST2;11;7;-2.04;-0.47;;
PST2;12;7;-1.29;-0.87;;
PST2;13;7;-0.36;0.16;;
PST2;14;7;-0.81;0.08;;
PST2;15;7;1.57;-0.15;;
PST2;16;7;-0.99;0.07;;
PST2;17;7;-0.76;-0.08;;
PST2;18;7;-1.43;0.1;;
PST2;19;7;-1.28;-0.12;;
