Condition;Replicas;Time;Mass;DoGlc;DoProt;DoTAG_PBST;DoTAG_RT
ST;5;14;35.4;0.1018;0.5657;0.066;0.0668
ST;6;14;29.5;0.0994;0.5423;0.0626;0.0549
ST;7;14;40.6;0.0885;0.6141;0.4283;0.1483
ST;8;14;43.5;0.0898;0.6953;0.0956;0.1946
PST1;1;21;31.5;0.0969;0.5036;0.0557;0.0543
PST1;2;21;35.2;0.1084;0.5598;0.2787;0.0718
PST1;3;21;42.2;0.0884;0.6269;0.0932;0.1481
PST1;4;21;38.2;0.107;0.535;0.0679;0.0897
PST1;5;21;39.6;0.1016;0.5977;0.0833;0.0607
PST1;6;21;44.2;0.1004;0.7067;0.081;0.1852
PST1;7;21;33.2;0.0978;0.5426;0.0617;0.0834
PST1;8;21;35.7;0.1041;0.6114;0.0679;0.0696
PST2;1;21;40.1;0.0993;0.6452;0.0885;0.1305
PST2;2;21;51.9;0.1136;0.7177;0.0687;0.0804
PST2;3;21;40.2;0.1412;0.579;0.0661;0.0764
PST2;4;21;37.5;0.1134;0.5772;0.0593;0.0768
PST2;5;21;31.5;0.0967;0.5012;0.0984;0.0879
PST2;6;21;41.3;0.0984;0.6173;0.0796;0.1264
PST2;7;21;35.5;0.0985;0.5624;0.0739;0.0894
PST2;8;21;36.9;0.089;0.5957;0.1135;0.1206
PST3;1;21;33.4;0.1038;0.5189;0.0585;0.0579
PST3;2;21;32.4;0.1039;0.4811;0.0594;0.0524
PST3;3;21;42.7;0.0851;0.5889;0.1085;0.1212
PST3;4;21;38.5;0.1178;0.5464;0.0618;0.0555
PST3;5;21;25.8;0.0943;0.4329;0.0554;0.0513
PST3;6;21;22.7;0.1033;0.4526;0.0535;0.0536
PST3;7;21;31.2;0.0981;0.4734;0.0566;0.0495
PST3;8;21;25.2;0.0989;0.4462;0.0548;0.0509
PST4;1;21;28;0.0941;0.4428;0.0563;0.0505
PST4;2;21;34.6;0.0898;0.5727;0.0678;0.1109
PST4;3;21;34.3;0.102;0.5081;0.0581;0.0544
PST4;4;21;29.5;0.1089;0.4785;0.0674;0.0531
PST4;5;21;34.3;0.1187;0.5193;0.0642;0.0612
PST4;6;21;28.8;0.1189;0.4617;0.06;0.0547
PST4;7;21;31.6;0.1061;0.5424;0.0558;0.0488
PST4;8;21;31.6;0.0933;0.5753;0.0629;0.0852
PST1+C;1;21;51;0.1126;0.8525;0.2456;1.0408
